title,pdf,arxiv,keywords,conference_day
Few-shot Acoustic Synthesis with Multimodal Flow Matching,https://openaccess.thecvf.com/content/CVPR2026/papers/Brunetto_Few-shot_Acoustic_Synthesis_with_Multimodal_Flow_Matching_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.19176,few-shot acoustic synthesis; multimodal flow matching; flow-matching acoustic generation; room impulse responses; neural acoustic fields; diffusion transformer; novel scene acoustics; acoustic-geometry embedding; geometry-consistent evaluation; data-efficient acoustic synthesis,2026-06-06
Anatomica: Localized Control over Geometric and Topological Properties for Anatomical Diffusion Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Kadry_Anatomica_Localized_Control_over_Geometric_and_Topological_Properties_for_Anatomical_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.20587,localized geo-topological control; anatomical voxel maps; cuboidal control domains; differentiable penalty functions; voxel-wise moments; persistent homology; latent diffusion models; neural field decoders; synthetic anatomical datasets; virtual trials,2026-06-06
UniCompress: Token Compression for Unified Vision-Language Understanding and Generation,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_UniCompress_Token_Compression_for_Unified_Vision-Language_Understanding_and_Generation_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.11320,unified vision-language models; token compression; visual token reduction; discrete image tokens; autoregressive multimodal framework; image understanding; image generation; learnable global meta tokens; plug-in compression-decompression mechanism; token-efficient unified modeling,2026-06-06
MooCap: A Multi-View Benchmark for Cow-Object-Human Interaction and Behavior Dynamics,https://openaccess.thecvf.com/content/CVPR2026/papers/Noronha_MooCap_A_Multi-View_Benchmark_for_Cow-Object-Human_Interaction_and_Behavior_Dynamics_CVPR_2026_paper.pdf,,animal behavior analysis; multi-view video; pose estimation; temporal action segmentation; animal-object-human interaction; behavior recognition; multi-entity tracking; keypoint trajectories; behavioral dynamics; fine-grained action annotation,2026-06-06
AURA: Multi-modal Shared Autonomy for Urban Navigation,https://openaccess.thecvf.com/content/CVPR2026/papers/Ma_AURA_Multi-modal_Shared_Autonomy_for_Urban_Navigation_CVPR_2026_paper.pdf,,Shared autonomy; Vision-Language AI; urban navigation; human-AI collaboration; Spatial-Aware Instruction Encoder; mobile robot control; teleoperation; instruction following; takeoverreduction; online adaptation,2026-06-06
Geometry-Aligned and Anomaly-Aware Reconstruction for 3D Anomaly Detection,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_Geometry-Aligned_and_Anomaly-Aware_Reconstruction_for_3D_Anomaly_Detection_CVPR_2026_paper.pdf,,point cloud anomaly detection; reconstruction-based diffusion; geometry-aligned noise; surface normals; anomaly-aware references; vertex-graph consistency; adaptive transformer; anomaly localization; 3D anomaly detection; automated manufacturing,2026-06-06
CogDriver: Integrating Cognitive Inertia for Temporally Coherent Planning in Autonomous Driving,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_CogDriver_Integrating_Cognitive_Inertia_for_Temporally_Coherent_Planning_in_Autonomous_CVPR_2026_paper.pdf,https://arxiv.org/abs/2509.00789,temporally coherent planning; autonomous driving; cognitive inertia; vision-language models; decision jitter; vision-language-action dataset; sparse temporal memory; spatiotemporal knowledge distillation; closed-loop Driving Score; Bench2Drive,2026-06-06
"WISER: Wider Search, Deeper Thinking, and Adaptive Fusion for Training-Free Zero-Shot Composed Image Retrieval",https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_WISER_Wider_Search_Deeper_Thinking_and_Adaptive_Fusion_for_Training-Free_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.23029,Zero-Shot Composed Image Retrieval; multimodal query; training-free retrieval; Text-to-Image retrieval; Image-to-Image retrieval; retrieve-verify-refine pipeline; intent awareness; uncertainty awareness; Adaptive Fusion; structured self-reflection,2026-06-06
TraceGen: World Modeling in 3D Trace Space Enables Learning from Cross-Embodiment Videos,https://openaccess.thecvf.com/content/CVPR2026/papers/Lee_TraceGen_World_Modeling_in_3D_Trace_Space_Enables_Learning_from_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.21690,3D trace-space; world modeling; cross-embodiment videos; robot task learning; scene-level trajectories; manipulation; TraceForge data pipeline; 3D motion prior; uncalibrated human demonstrations; video-based world models,2026-06-06
Frequency Switching Mechanism for Parameter-Efficient Multi-Task Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_Frequency_Switching_Mechanism_for_Parameter-Efficient_Multi-Task_Learning_CVPR_2026_paper.pdf,,Multi-task learning; Parameter-efficient fine-tuning; Frequency switching; Low-rank adaptation; Sinusoidal modulation; Weight modulation; Dense prediction; Frequency-based parameter sharing; Convolutional priors; Task specialization,2026-06-06
