title,pdf,arxiv,keywords,conference_day
What Makes Good Synthetic Training Data for Zero-Shot Stereo Matching?,https://openaccess.thecvf.com/content/CVPR2026/papers/Yan_What_Makes_Good_Synthetic_Training_Data_for_Zero-Shot_Stereo_Matching_CVPR_2026_paper.pdf,https://arxiv.org/abs/2504.16930,synthetic training data; zero-shot stereo matching; stereo matching networks; procedural dataset generator; synthetic stereo datasets; dataset parameter analysis; standard stereo benchmarks; large-scale dataset generation; FoundationStereo dataset; open-source generation code,2026-06-07
GenieDrive: Towards Physics-Aware Driving World Model with 4D Occupancy Guided Video Generation,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_GenieDrive_Towards_Physics-Aware_Driving_World_Model_with_4D_Occupancy_Guided_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.12751,physics-aware driving world model; 4D occupancy; driving video generation; latent tri-plane representation; occupancy evolution; Mutual Control Attention; Normalized Multi-View Attention; multi-view driving videos; forecasting mIoU; physically consistent video generation,2026-06-07
Human-like Abstract Visual Reasoning via Understanding and Solving Reasoning Loop,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Human-like_Abstract_Visual_Reasoning_via_Understanding_and_Solving_Reasoning_Loop_CVPR_2026_paper.pdf,,abstract visual reasoning; ARC-AGI; Understanding and Solving Reasoning Loop; rule representations; iterative reasoning; adaptive reasoning halting; Understanding Module; Solving Module; few-shot graphical demonstrations; recurrent interaction,2026-06-07
Let it Snow! Animating 3D Gaussian Scenes with Dynamic Weather Effects via Physics-Guided Score Distillation,https://openaccess.thecvf.com/content/CVPR2026/papers/Fiebelman_Let_it_Snow_Animating_3D_Gaussian_Scenes_with_Dynamic_Weather_CVPR_2026_paper.pdf,,3D Gaussian Splatting; dynamic scene editing; dynamic weather effects; Physics-Guided Score Distillation; physics simulation; Score Distillation Sampling; Video-SDS; neural dynamics model; particle motion and appearance; physically plausible motion,2026-06-07
Mark4D: Temporally-Consistent Watermarking for 4D Gaussian Splatting,https://openaccess.thecvf.com/content/CVPR2026/papers/Lee_Mark4D_Temporally-Consistent_Watermarking_for_4D_Gaussian_Splatting_CVPR_2026_paper.pdf,,4D Gaussian Splatting; temporally consistent watermarking; dynamic 4D scene assets; invisible watermark embedding; spatio-temporal deformation; Gaussian motion paths; latent video-text space; watermark recovery; trajectory-aligned offsets; motion-adaptive loss weighting,2026-06-07
3D Gaussian Splatting from Unposed Spike Stream,https://openaccess.thecvf.com/content/CVPR2026/papers/Guo_3D_Gaussian_Splatting_from_Unposed_Spike_Stream_CVPR_2026_paper.pdf,,3D Gaussian Splatting; unposed spike stream; spike camera; high-speed 3D reconstruction; camera pose estimation; bio-inspired sensor; high temporal resolution; probabilistic spike model; keyframing; progressive optimization,2026-06-07
WaTeRFlow: Watermark Temporal Robustness via Flow Consistency,https://openaccess.thecvf.com/content/CVPR2026/papers/Jeong_WaTeRFlow_Watermark_Temporal_Robustness_via_Flow_Consistency_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.19048,image watermarking; watermark temporal robustness; image-to-video; cross-modal watermark recovery; video diffusion proxy; optical-flow warping; Temporal Consistency Loss; flow-guided synthesis; semantic preservation loss; per-frame bit accuracy,2026-06-07
Post-training Feature Pruning for Fundus Images Classification,https://openaccess.thecvf.com/content/CVPR2026/papers/Pham_Post-training_Feature_Pruning_for_Fundus_Images_Classification_CVPR_2026_paper.pdf,,fundus image classification; post-training feature pruning; greedy feature pruning; flattened feature representations; diabetic retinopathy detection; glaucoma detection; retinal disease classification; EfficientNetV2; Vision Transformer; cross-dataset transferability,2026-06-07
"LoL: Longer than Longer, Scaling Video Generation to Hour",https://openaccess.thecvf.com/content/CVPR2026/papers/Cui_LoL_Longer_than_Longer_Scaling_Video_Generation_to_Hour_CVPR_2026_paper.pdf,https://arxiv.org/abs/2601.16914,long-form video generation; autoregressive video generation; error accumulation; long-term coherence; attention sink frames; sink-collapse; Rotary Position Embedding; multi-head attention; multi-head RoPE jitter; infinite-length streaming video generation,2026-06-07
Markovian Scale Prediction: A New Era of Visual Autoregressive Generation,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Markovian_Scale_Prediction_A_New_Era_of_Visual_Autoregressive_Generation_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.23334,Visual AutoRegressive modeling; next-scale prediction; Markov-VAR; Markovian Scale Prediction; non-full-context Markov process; sliding window; compact history vector; dynamic state; visual autoregressive generation; peak memory reduction,2026-06-07
