title,pdf,arxiv,keywords,conference_day
Reconstruction-Guided Slot Curriculum: Addressing Object Over-Fragmentation in Video Object-Centric Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Moon_Reconstruction-Guided_Slot_Curriculum_Addressing_Object_Over-Fragmentation_in_Video_Object-Centric_Learning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.22758,Video Object-Centric Learning; slot-attention models; object over-fragmentation; reconstruction-guided slot curriculum; SlotCurri; reconstruction error; structure-aware loss; semantic boundaries; cyclic inference; temporally consistent object representations,2026-06-06
Virtual Full-stack Scanning of Brain MRI via Imputing Any Quantised Code,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_Virtual_Full-stack_Scanning_of_Brain_MRI_via_Imputing_Any_Quantised_CVPR_2026_paper.pdf,https://arxiv.org/abs/2501.18328,brain MRI imputation; virtual full-stack scanning; missing MRI modalities; any-to-any imputation; CodeBrain; region-level code prediction; scalar-quantised codes; modality-agnostic common features; projection encoder; BraTS 2023,2026-06-06
MoD-DPO: Towards Mitigating Cross-modal Hallucinations in Omni LLMs using Modality Decoupled Preference Optimization,https://openaccess.thecvf.com/content/CVPR2026/papers/Chaubey_MoD-DPO_Towards_Mitigating_Cross-modal_Hallucinations_in_Omni_LLMs_using_Modality_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.03192,omni-modal large language models; cross-modal hallucinations; Modality-Decoupled Direct Preference Optimization; modality grounding; modality-aware regularization; audiovisual understanding; language-prior debiasing; preference optimization; modality-faithful alignment; multimodal foundation models,2026-06-06
PerpetualWonder: Long-horizon Action-conditioned 4D Scene Generation,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhan_PerpetualWonder_Long-horizon_Action-conditioned_4D_Scene_Generation_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.04876,long-horizon action-conditioned 4D scene generation; hybrid generative simulator; single-image scene generation; closed-loop simulation; unified physical-visual representation; bidirectional physical state and visual primitives; generative refinements; multi-view supervision; multi-step interactions; physical plausibility,2026-06-06
SIF: Semantically In-Distribution Fingerprints for Large Vision-Language Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhao_SIF_Semantically_In-Distribution_Fingerprints_for_Large_Vision-Language_Models_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.17041,large vision-language models; ownership verification; model fingerprinting; Semantic Divergence Attack; Semantically In-Distribution Fingerprints; Semantic-Aligned Fingerprint Distillation; text watermarking; visual modality; Robust-Fingerprint Optimization; LVLM copyright protection,2026-06-06
ReFTA: Breaking the Weight Reconstruction Bottleneck in Tensorized Parameter-Efficient Fine-Tuning,https://openaccess.thecvf.com/content/CVPR2026/papers/Zheng_ReFTA_Breaking_the_Weight_Reconstruction_Bottleneck_in_Tensorized_Parameter-Efficient_Fine-Tuning_CVPR_2026_paper.pdf,,Reconstruction-Free Tensor-Based Adaptation; tensor-based adaptation; parameter-efficient fine-tuning; tensor algebraic properties; weight tensor reconstruction; principal tensor components; initialization quantization error; tensor product algebra; tensor rank configuration; accuracy-efficiency trade-off,2026-06-06
From Exploration to Exploitation: A Two-Stage Entropy RLVR Approach for Noise-Tolerant MLLM Training,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_From_Exploration_to_Exploitation_A_Two-Stage_Entropy_RLVR_Approach_for_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.07738,Reinforcement Learning with Verifiable Rewards; Multimodal Large Language Models; noise-tolerant training; token-level entropy optimization; entropy maximization; entropy minimization; Group-Relative Policy Optimization; annotation noise; reward gradient estimation; Qwen2-VL,2026-06-06
Dual-Level Hypergraph Generation for Addressing Feature Scarcity in Whole-Slide Image Classification,https://openaccess.thecvf.com/content/CVPR2026/papers/Yao_Dual-Level_Hypergraph_Generation_for_Addressing_Feature_Scarcity_in_Whole-Slide_Image_CVPR_2026_paper.pdf,,whole-slide image classification; lymph node metastasis diagnosis; feature scarcity; minority class representation; dual-level hypergraph generation; high-order feature interactions; prompt-guided hierarchical hypergraph variational autoencoder; anchor-diffusion mixup; hypernode feature enrichment; NIMM dataset,2026-06-06
LAM: Language Articulated Object Modelers,https://openaccess.thecvf.com/content/CVPR2026/papers/Gao_LAM_Language_Articulated_Object_Modelers_CVPR_2026_paper.pdf,,articulated object generation; language articulated object modelers; large-language models; vision-language models; text-to-3D generation; procedural code generation; geometry and articulation co-design; hierarchical part structure; self-correcting code generation; structured interpretable 3D representation,2026-06-06
TAPE: Task-Adaptive Prototype Evolution in Audio-Language Models for Fully Few-shot Class-incremental Audio Classification,https://openaccess.thecvf.com/content/CVPR2026/papers/Gao_TAPE_Task-Adaptive_Prototype_Evolution_in_Audio-Language_Models_for_Fully_Few-shot_CVPR_2026_paper.pdf,,Fully Few-shot Class-incremental Audio Classification; Audio-Language Models; Task-Adaptive Prototype Evolution; Task-Adapter; Prototype Evolution; catastrophic forgetting; overfitting; text-audio misalignment; class prototypes; adaptive learning,2026-06-06
IAG: Input-aware Backdoor Attack on VLM-based Visual Grounding,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_IAG_Input-aware_Backdoor_Attack_on_VLM-based_Visual_Grounding_CVPR_2026_paper.pdf,https://arxiv.org/abs/2508.09456,VLM-based visual grounding; multi-target backdoor attack; input-aware triggers; text-guided triggers; text-conditioned UNet; imperceptible semantic cues; joint training objective; attack success rate; clean accuracy preservation; trustworthy multimodal understanding,2026-06-06
AceTone: Bridging Words and Colors for Conditional Image Grading,https://openaccess.thecvf.com/content/CVPR2026/papers/Ma_AceTone_Bridging_Words_and_Colors_for_Conditional_Image_Grading_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.00530,conditional image grading; multimodal color grading; 3D-LUT generation; text-guided grading; reference-guided grading; generative color transformation; VQ-VAE LUT tokenizer; vision-language model; reinforcement learning alignment; perceptual fidelity and aesthetics,2026-06-06
Homaloidal parametrization for detecting critical two-view configurations,https://openaccess.thecvf.com/content/CVPR2026/papers/Madhavan_Homaloidal_parametrization_for_detecting_critical_two-view_configurations_CVPR_2026_paper.pdf,,critical two-view configurations; fundamental matrix estimation; eight point matches; degeneracy tests; general critical surface; homaloidal net of conics; quadratic transformation; image correspondences; planar scenes; pure rotations,2026-06-06
"Generate, Analyze, and Refine: Training-Free Sound Source Localization via MLLM Meta-Reasoning",https://openaccess.thecvf.com/content/CVPR2026/papers/Park_Generate_Analyze_and_Refine_Training-Free_Sound_Source_Localization_via_MLLM_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.06824,sound source localization; Multimodal Large Language Models; training-free SSL; Generation-Analysis-Refinement pipeline; Audio-Visual Consistency; open-set role tagging; anchor voting; adaptive gating; audio-visual modalities; complex acoustic scenes,2026-06-06
Detect Anything via Next Point Prediction,https://openaccess.thecvf.com/content/CVPR2026/papers/Jiang_Detect_Anything_via_Next_Point_Prediction_CVPR_2026_paper.pdf,https://arxiv.org/abs/2510.12798,Rex-Omni; next point prediction; object detection; multimodal large language models; quantized coordinate prediction; geometry-aware rewards; GRPO reinforcement post-training; GUI grounding; visual prompting; spatial referring,2026-06-06
VAST: Video Ability-Stratified Taxonomy for Data-Efficient Video Reasoning,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_VAST_Video_Ability-Stratified_Taxonomy_for_Data-Efficient_Video_Reasoning_CVPR_2026_paper.pdf,,video reasoning; multimodal large language models; reinforcement learning; ability-stratified taxonomy; video understanding; cognitive taxonomy; consistency rewards; reasoning traces; VAST-Bench; data-efficient training,2026-06-06
