title,pdf,arxiv,keywords,conference_day
FusionAgent: A Multimodal Agent with Dynamic Model Selection for Human Recognition,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhu_FusionAgent_A_Multimodal_Agent_with_Dynamic_Model_Selection_for_Human_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.26908,model fusion; whole-body human recognition; dynamic model selection; Multimodal Large Language Model; Reinforcement Fine-Tuning; score-fusion; biometric cues; Anchor-based Confidence Top-k; embedding heterogeneity; sample-specific model selection,2026-06-07
Learning Forgery-Aware Lip Representations Without Forgery Priors,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Learning_Forgery-Aware_Lip_Representations_Without_Forgery_Priors_CVPR_2026_paper.pdf,,Visual Speaker Authentication; lip dynamics; talking face generation; forgery detection; deepfakes; authentic data learning; contrastive learning; representation learning; lip-sync detection; biometric verification,2026-06-07
How to Take a Memorable Picture? Empowering Users with Actionable Feedback,https://openaccess.thecvf.com/content/CVPR2026/papers/Laiti_How_to_Take_a_Memorable_Picture_Empowering_Users_with_Actionable_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.21877,image memorability; Memorability Feedback; MemFeed; MemCoach; actionable visual feedback; Multimodal Large Language Models; teacher-student steering; internal activation alignment; MemBench; sequence-aligned photoshoots,2026-06-07
ZINA: Multimodal Fine-grained Hallucination Detection and Editing,https://openaccess.thecvf.com/content/CVPR2026/papers/Wada_ZINA_Multimodal_Fine-grained_Hallucination_Detection_and_Editing_CVPR_2026_paper.pdf,https://arxiv.org/abs/2506.13130,multimodal large language models; fine-grained hallucination detection; hallucination editing; hallucinated spans; visual content deviation; error type classification; VisionHall dataset; graph-based synthetic sample generation; GPT-4o; Llama-3.2,2026-06-07
Exploring Visual Pretraining for Learning Language Intelligence,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhao_Exploring_Visual_Pretraining_for_Learning_Language_Intelligence_CVPR_2026_paper.pdf,,Visual pretraining; Language models; Masked autoregressive pretraining; Multimodal representation learning; Document images; Math reasoning; LLM pretraining; Layout understanding; Platonic representations; Cross-modal alignment,2026-06-07
ReBaPL: Repulsive Bayesian Prompt Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Bendou_ReBaPL_Repulsive_Bayesian_Prompt_Learning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.17339,Repulsive Bayesian Prompt Learning; Bayesian prompt learning; prompt optimization; out-of-distribution generalization; stochastic gradient Hamiltonian Monte Carlo; cyclical step-size schedule; multimodal posterior landscape; representation-space repulsion; Maximum Mean Discrepancy; Wasserstein distance,2026-06-07
Model Merging in the Essential Subspace,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Model_Merging_in_the_Essential_Subspace_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.20208,model merging; Essential Subspace Merging; task interference; multi-task model merging; Principal Component Analysis; feature shifts; parameter updates; essential subspace; low-rank decomposition; multi-level polarized scaling,2026-06-07
RecTok: Reconstruction Distillation along Rectified Flow,https://openaccess.thecvf.com/content/CVPR2026/papers/Shi_RecTok_Reconstruction_Distillation_along_Rectified_Flow_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.13421,visual tokenizers; diffusion models; high-dimensional latent spaces; reconstruction distillation; rectified flow; flow matching; flow semantic distillation; reconstruction-alignment distillation; vision foundation models; masked feature reconstruction,2026-06-07
Virtual Immunohistochemistry Staining with Dual-Aligned Multi-Task Feature Guidance,https://openaccess.thecvf.com/content/CVPR2026/papers/Xie_Virtual_Immunohistochemistry_Staining_with_Dual-Aligned_Multi-Task_Feature_Guidance_CVPR_2026_paper.pdf,,Virtual immunohistochemistry staining; H&E to IHC translation; Multi-task feature guidance; Spatial alignment; Feature matching; Auxiliary task supervision; Semantic correspondence; Task-gap alignment; Histopathology image synthesis; Staining variability,2026-06-07
Fixed Anchors Are Not Enough: Dynamic Retrieval and Persistent Homology for Dataset Distillation,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Fixed_Anchors_Are_Not_Enough_Dynamic_Retrieval_and_Persistent_Homology_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.24144,decoupled dataset distillation; Retrieval and Topology Alignment; Dynamic Retrieval Connection; Persistent Topology Alignment; persistent homology; residual matching; fit-complexity score; teacher feature space; mutual k-NN feature graph; persistence images,2026-06-07
